outlet_id,source,tier,country,source_type,review_decision,rss_parsed,sitemap_parsed,rss_24h,sitemap_24h,total_24h,rss_unique_24h,sitemap_unique_24h,unique_24h,dedupe_rate,rss_url,sitemap_url,errors
cnbc,CNBC,1,US,global,verified_core,30,165,30,165,195,30,165,165,0.1538,https://www.cnbc.com/id/100003114/device/rss/rss.html,https://www.cnbc.com/sitemap_news.xml,
google-argentina-topic,Google Argentina Topic,2,Argentina,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Argentina+noticias+when:1d&ceid=AR:es-419&hl=es-419&gl=AR,,
google-arizona-news,Google Arizona News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Arizona+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-california-news,Google California News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=California+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-chile-topic,Google Chile Topic,2,Chile,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Chile+noticias+when:1d&ceid=CL:es-419&hl=es-419&gl=CL,,
google-florida-news,Google Florida News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Florida+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-georgia-news,Google Georgia News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Georgia+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-illinois-news,Google Illinois News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Illinois+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-new-york-news,Google New York News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=New+York+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-ohio-news,Google Ohio News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Ohio+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-pennsylvania-news,Google Pennsylvania News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Pennsylvania+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-texas-news,Google Texas News,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Texas+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-uruguay-topic,Google Uruguay Topic,2,Uruguay,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=Uruguay+noticias+when:1d&ceid=UY:es-419&hl=es-419&gl=UY,,
google-us-business-topic,Google US Business Topic,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=US+business+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-us-politics-topic,Google US Politics Topic,2,US,portal,keep_secondary,100,0,100,0,100,100,0,100,0.0000,https://news.google.com/rss/search?q=US+politics+when:1d&ceid=US:en&hl=en-US&gl=US,,
infobae,Infobae,1,Argentina,local,verified_core,100,0,100,0,100,100,0,100,0.0000,https://www.infobae.com/arc/outboundfeeds/rss/?outputType=xml,https://www.infobae.com/sitemap-news.xml,sitemap:404
la-nacion-ar,La Nacion AR,1,Argentina,local,verified_core,100,0,100,0,100,100,0,100,0.0000,https://www.lanacion.com.ar/arc/outboundfeeds/rss/,https://www.lanacion.com.ar/arc/outboundfeeds/sitemap-index/?outputType=xml,
google-washington-news,Google Washington News,2,US,portal,keep_secondary,87,0,87,0,87,87,0,87,0.0000,https://news.google.com/rss/search?q=Washington+state+news+when:1d&ceid=US:en&hl=en-US&gl=US,,
bloomberg,Bloomberg,1,US,portal,verified_core,100,0,72,0,72,72,0,72,0.0000,https://news.google.com/rss/search?q=site:bloomberg.com&ceid=US:en&hl=en-US&gl=US,,
el-destape,El Destape,2,Argentina,portal,keep_secondary,100,0,69,0,69,69,0,69,0.0000,https://news.google.com/rss/search?q=site:eldestapeweb.com&ceid=AR:es-419&hl=es-419&gl=AR,,
mashable,Mashable,3,US,global,keep_secondary,100,0,69,0,69,69,0,69,0.0000,https://mashable.com/feed,,
the-hill,The Hill,2,US,global,keep_secondary,100,0,69,0,69,69,0,69,0.0000,https://thehill.com/feed,,
google-us-tech-topic,Google US Tech Topic,2,US,portal,keep_secondary,67,0,67,0,67,67,0,67,0.0000,https://news.google.com/rss/search?q=US+technology+when:1d&ceid=US:en&hl=en-US&gl=US,,
google-latam-business-topic,Google LATAM Business Topic,2,LATAM,portal,keep_secondary,65,0,65,0,65,65,0,65,0.0000,https://news.google.com/rss/search?q=Latinoamerica+economia+when:1d&ceid=US:es-419&hl=es-419&gl=US,,
reuters,Reuters,1,US,portal,verified_core,100,0,64,0,64,64,0,64,0.0000,https://news.google.com/rss/search?q=site:reuters.com&ceid=US:en&hl=en-US&gl=US,,
