region,outlet_id,source,country,source_type,review_decision,attempted_endpoints,failed_endpoints,failure_rate,parsed_count,recent_24h,errors
LATAM,infobae,Infobae,Argentina,local,verified_core,1,0,0.0000,100,100,
LATAM,la-nacion-ar,La Nacion AR,Argentina,local,verified_core,1,0,0.0000,100,100,
US,the-hill,The Hill,United States,global,keep_secondary,1,0,0.0000,100,78,
US,bloomberg,Bloomberg,United States,portal,verified_core,1,0,0.0000,100,73,
US,mashable,Mashable,United States,global,keep_secondary,1,0,0.0000,100,71,
US,reuters,Reuters,United States,portal,verified_core,1,0,0.0000,100,71,
US,espn,ESPN,United States,portal,keep_secondary,1,0,0.0000,100,64,
LATAM,cooperativa,Cooperativa,Chile,local,keep_secondary,1,0,0.0000,100,59,
US,people,People,United States,portal,keep_secondary,1,0,0.0000,100,59,
LATAM,perfil,Perfil,Argentina,portal,keep_secondary,1,0,0.0000,100,53,
LATAM,el-destape,El Destape,Argentina,portal,keep_secondary,1,0,0.0000,100,51,
US,sports-illustrated,Sports Illustrated,United States,portal,keep_secondary,1,0,0.0000,100,51,
LATAM,tn-argentina,TN Argentina,Argentina,portal,keep_secondary,1,0,0.0000,100,49,
LATAM,el-tribuno,El Tribuno,Argentina,portal,keep_secondary,1,0,0.0000,100,48,
US,new-york-post,New York Post,United States,portal,keep_secondary,1,0,0.0000,100,47,
US,deadline,Deadline,United States,portal,keep_secondary,1,0,0.0000,100,45,
LATAM,biobiochile,BioBioChile,Chile,local,verified_core,1,0,0.0000,100,44,
LATAM,la-voz-del-interior,La Voz del Interior,Argentina,portal,keep_secondary,1,0,0.0000,100,44,
US,breitbart,Breitbart,United States,global,keep_secondary,1,0,0.0000,50,43,
LATAM,el-mostrador,El Mostrador,Chile,portal,keep_secondary,1,0,0.0000,100,43,
US,newsweek,Newsweek,United States,portal,keep_secondary,1,0,0.0000,100,42,
LATAM,america-tv-ar,America TV AR,Argentina,portal,keep_secondary,1,0,0.0000,100,41,
LATAM,cnn-chile,CNN Chile,Chile,portal,keep_secondary,1,0,0.0000,100,40,
LATAM,el-cronista,El Cronista,Argentina,local,keep_secondary,1,0,0.0000,94,38,
LATAM,minutouno,MinutoUno,Argentina,portal,keep_secondary,1,0,0.0000,100,38,
LATAM,24-horas-chile,24 Horas Chile,Chile,portal,keep_secondary,1,0,0.0000,100,36,
LATAM,ole,Ole,Argentina,portal,keep_secondary,1,0,0.0000,100,34,
US,engadget,Engadget,United States,global,keep_secondary,1,0,0.0000,50,33,
US,cbs-sports,CBS Sports,United States,portal,keep_secondary,1,0,0.0000,100,32,
LATAM,pagina12,Pagina12,Argentina,local,keep_secondary,1,0,0.0000,100,32,
US,variety,Variety,United States,portal,keep_secondary,1,0,0.0000,100,31,
US,cnbc,CNBC,United States,global,verified_core,1,0,0.0000,30,30,
US,the-new-york-times,The New York Times,United States,global,verified_core,1,0,0.0000,32,30,
LATAM,emol,Emol,Chile,local,verified_core,1,0,0.0000,100,29,
LATAM,brecha,Brecha,Uruguay,portal,keep_secondary,1,0,0.0000,100,27,
US,cbs-news,CBS News,United States,global,keep_secondary,1,0,0.0000,30,27,
US,cleveland-plain-dealer,Cleveland Plain Dealer,United States,portal,keep_secondary,1,0,0.0000,100,27,
LATAM,los-andes,Los Andes,Argentina,portal,keep_secondary,1,0,0.0000,100,27,
LATAM,el-desconcierto,El Desconcierto,Chile,portal,keep_secondary,1,0,0.0000,100,26,
LATAM,ambito-financiero,Ambito Financiero,Argentina,local,keep_secondary,1,0,0.0000,46,25,
US,ap-news,AP News,United States,portal,verified_core,1,0,0.0000,100,25,
LATAM,c5n-argentina,C5N Argentina,Argentina,portal,keep_secondary,1,0,0.0000,100,25,
US,cnet,CNET,United States,global,keep_secondary,1,0,0.0000,25,25,
US,fox-news,Fox News,United States,global,keep_secondary,1,0,0.0000,25,25,
LATAM,iprofesional,iProfesional,Argentina,portal,keep_secondary,1,0,0.0000,100,25,
LATAM,la-tercera,La Tercera,Chile,local,verified_core,1,0,0.0000,100,25,
US,bleacher-report,Bleacher Report,United States,portal,keep_secondary,1,0,0.0000,100,24,
LATAM,reuters-argentina-desk,Reuters Argentina Desk,Argentina,global,keep_secondary,1,0,0.0000,100,24,
US,seattle-times,Seattle Times,United States,portal,keep_secondary,1,0,0.0000,100,23,
US,wired,Wired,United States,global,keep_secondary,1,0,0.0000,50,23,
LATAM,meganoticias,Meganoticias,Chile,portal,keep_secondary,1,0,0.0000,100,22,
US,detroit-free-press,Detroit Free Press,United States,portal,keep_secondary,1,0,0.0000,100,21,
US,pbs-newshour,PBS NewsHour,United States,portal,keep_secondary,1,0,0.0000,100,21,
US,business-insider,Business Insider,United States,global,keep_secondary,1,0,0.0000,20,20,
US,buzzfeed-news,BuzzFeed News,United States,global,keep_secondary,1,0,0.0000,40,20,
US,fast-company,Fast Company,United States,global,keep_secondary,1,0,0.0000,20,20,
US,gizmodo,Gizmodo,United States,global,keep_secondary,1,0,0.0000,20,20,
US,la-times,LA Times,United States,global,verified_core,1,0,0.0000,95,20,
US,refinery29,Refinery29,United States,portal,keep_secondary,1,0,0.0000,100,20,
US,zdnet,ZDNet,United States,global,keep_secondary,1,0,0.0000,20,20,
US,star-tribune,Star Tribune,United States,portal,keep_secondary,1,0,0.0000,100,19,
LATAM,telenoche-uy,Telenoche UY,Uruguay,portal,keep_secondary,1,0,0.0000,100,19,
US,slate,Slate,United States,global,keep_secondary,1,0,0.0000,25,18,
US,techcrunch,TechCrunch,United States,global,keep_secondary,1,0,0.0000,20,18,
US,complex,Complex,United States,portal,keep_secondary,1,0,0.0000,100,17,
LATAM,diario-financiero,Diario Financiero,Chile,local,keep_secondary,1,0,0.0000,100,17,
